,fecha_I,fecha_O,temporada_alta,dif_min,atraso_15,periodo_dia
92,2017-01-14 13:35:00,2017-01-14 14:52:00,1,77,1,tarde
93,2017-01-15 13:35:00,2017-01-15 14:07:00,1,32,1,tarde
94,2017-01-16 13:35:00,2017-01-16 14:14:00,1,39,1,tarde
95,2017-01-17 13:35:00,2017-01-17 14:23:00,1,48,1,tarde
96,2017-01-18 13:35:00,2017-01-18 13:41:00,1,6,0,tarde
97,2017-01-19 13:35:00,2017-01-19 13:37:00,1,2,0,tarde
98,2017-01-20 13:35:00,2017-01-20 14:03:00,1,28,1,tarde
99,2017-01-21 13:35:00,2017-01-21 13:46:00,1,11,0,tarde
100,2017-01-22 13:35:00,2017-01-22 14:08:00,1,33,1,tarde
101,2017-01-23 13:35:00,2017-01-23 14:44:00,1,69,1,tarde
102,2017-01-24 13:35:00,2017-01-24 13:55:00,1,20,1,tarde
103,2017-01-25 13:35:00,2017-01-25 13:38:00,1,3,0,tarde
104,2017-01-26 13:35:00,2017-01-26 13:57:00,1,22,1,tarde
105,2017-01-27 13:35:00,2017-01-27 13:56:00,1,21,1,tarde
106,2017-01-28 13:35:00,2017-01-28 13:57:00,1,22,1,tarde
107,2017-01-29 13:35:00,2017-01-29 14:02:00,1,27,1,tarde
108,2017-01-30 13:35:00,2017-01-30 13:41:00,1,6,0,tarde
109,2017-01-01 21:10:00,2017-01-01 21:30:00,1,20,1,noche
110,2017-01-02 21:10:00,2017-01-02 21:27:00,1,17,1,noche
111,2017-01-03 21:10:00,2017-01-03 21:29:00,1,19,1,noche
112,2017-01-04 21:10:00,2017-01-04 21:57:00,1,47,1,noche
113,2017-01-05 21:10:00,2017-01-05 21:15:00,1,5,0,noche
114,2017-01-06 21:10:00,2017-01-06 22:13:00,1,63,1,noche
115,2017-01-07 21:10:00,2017-01-07 22:05:00,1,55,1,noche
116,2017-01-08 21:10:00,2017-01-08 22:03:00,1,53,1,noche
117,2017-01-09 21:10:00,2017-01-09 22:55:00,1,105,1,noche
118,2017-01-10 21:10:00,2017-01-10 21:30:00,1,20,1,noche
119,2017-01-11 21:10:00,2017-01-11 22:22:00,1,72,1,noche
120,2017-01-13 21:10:00,2017-01-13 21:36:00,1,26,1,noche
121,2017-01-14 21:10:00,2017-01-14 22:49:00,1,99,1,noche
122,2017-01-15 21:10:00,2017-01-15 22:02:00,1,52,1,noche
123,2017-01-16 21:10:00,2017-01-16 21:43:00,1,33,1,noche
124,2017-01-17 21:10:00,2017-01-17 23:37:00,1,147,1,noche
125,2017-01-18 21:10:00,2017-01-18 21:28:00,1,18,1,noche
126,2017-01-19 21:10:00,2017-01-19 21:35:00,1,25,1,noche
127,2017-01-20 21:10:00,2017-01-20 21:15:00,1,5,0,noche
128,2017-01-21 21:10:00,2017-01-21 21:31:00,1,21,1,noche
129,2017-01-22 21:10:00,2017-01-22 21:23:00,1,13,0,noche
130,2017-01-23 21:10:00,2017-01-23 21:31:00,1,21,1,noche
131,2017-01-24 21:10:00,2017-01-24 21:21:00,1,11,0,noche
132,2017-01-25 21:10:00,2017-01-25 21:06:00,1,4,0,noche
133,2017-01-26 21:10:00,2017-01-26 21:09:00,1,1,0,noche
134,2017-01-27 21:10:00,2017-01-27 21:18:00,1,8,0,noche
135,2017-01-28 21:10:00,2017-01-28 21:16:00,1,6,0,noche
136,2017-01-29 21:10:00,2017-01-29 21:06:00,1,4,0,noche
137,2017-01-30 21:10:00,2017-01-30 21:16:00,1,6,0,noche
138,2017-01-01 14:25:00,2017-01-01 14:21:00,1,4,0,tarde
139,2017-01-02 14:25:00,2017-01-02 14:25:00,1,0,0,tarde
140,2017-01-03 14:25:00,2017-01-03 14:28:00,1,3,0,tarde
141,2017-01-04 14:25:00,2017-01-04 14:24:00,1,1,0,tarde
142,2017-01-05 14:25:00,2017-01-05 14:15:00,1,10,0,tarde
143,2017-01-06 14:25:00,2017-01-06 14:41:00,1,16,1,tarde
144,2017-01-07 14:25:00,2017-01-07 14:24:00,1,1,0,tarde
145,2017-01-08 14:25:00,2017-01-08 14:26:00,1,1,0,tarde
146,2017-01-09 14:25:00,2017-01-09 14:39:00,1,14,0,tarde
147,2017-01-10 14:25:00,2017-01-10 14:33:00,1,8,0,tarde
148,2017-01-11 14:25:00,2017-01-11 14:32:00,1,7,0,tarde
149,2017-01-12 14:25:00,2017-01-12 14:32:00,1,7,0,tarde
150,2017-01-13 14:25:00,2017-01-13 14:30:00,1,5,0,tarde
151,2017-01-14 14:25:00,2017-01-14 14:42:00,1,17,1,tarde
152,2017-01-15 14:25:00,2017-01-15 14:26:00,1,1,0,tarde
153,2017-01-16 14:25:00,2017-01-16 14:37:00,1,12,0,tarde
154,2017-01-17 14:25:00,2017-01-17 14:22:00,1,3,0,tarde
155,2017-01-18 14:25:00,2017-01-18 14:58:00,1,33,1,tarde
156,2017-01-19 14:25:00,2017-01-19 14:31:00,1,6,0,tarde
157,2017-01-20 14:25:00,2017-01-20 14:21:00,1,4,0,tarde
158,2017-01-21 14:25:00,2017-01-21 14:33:00,1,8,0,tarde
159,2017-01-22 14:25:00,2017-01-22 14:32:00,1,7,0,tarde
160,2017-01-23 14:25:00,2017-01-23 14:24:00,1,1,0,tarde
161,2017-01-24 14:25:00,2017-01-24 14:28:00,1,3,0,tarde
162,2017-01-25 14:25:00,2017-01-25 14:18:00,1,7,0,tarde
163,2017-01-26 14:25:00,2017-01-26 14:37:00,1,12,0,tarde
164,2017-01-27 14:25:00,2017-01-27 14:23:00,1,2,0,tarde
165,2017-01-28 14:25:00,2017-01-28 14:32:00,1,7,0,tarde
166,2017-01-29 14:25:00,2017-01-29 14:39:00,1,14,0,tarde
167,2017-01-30 14:25:00,2017-01-30 14:39:00,1,14,0,tarde
168,2017-01-31 14:25:00,2017-01-31 14:20:00,1,5,0,tarde
169,2017-01-01 00:15:00,2017-01-01 00:04:00,1,11,0,noche
170,2017-01-02 00:15:00,2017-01-02 00:28:00,1,13,0,noche
171,2017-01-03 00:15:00,2017-01-03 00:13:00,1,2,0,noche
172,2017-01-04 00:15:00,2017-01-04 00:03:00,1,12,0,noche
173,2017-01-05 00:15:00,2017-01-05 00:22:00,1,7,0,noche
174,2017-01-06 00:15:00,2017-01-06 00:14:00,1,1,0,noche
175,2017-01-07 00:15:00,2017-01-07 00:29:00,1,14,0,noche
176,2017-01-08 00:15:00,2017-01-08 00:08:00,1,7,0,noche
177,2017-01-09 22:35:00,2017-01-09 22:29:00,1,6,0,noche
178,2017-01-10 22:35:00,2017-01-10 22:35:00,1,0,0,noche
179,2017-01-11 22:35:00,2017-01-11 22:32:00,1,3,0,noche
180,2017-01-12 22:35:00,2017-01-12 22:26:00,1,9,0,noche
181,2017-01-13 22:35:00,2017-01-13 22:31:00,1,4,0,noche
182,2017-01-14 22:35:00,2017-01-14 22:33:00,1,2,0,noche
183,2017-01-15 22:35:00,2017-01-15 22:28:00,1,7,0,noche
184,2017-01-16 22:35:00,2017-01-16 22:32:00,1,3,0,noche
185,2017-01-17 22:35:00,2017-01-17 22:36:00,1,1,0,noche
186,2017-01-18 22:35:00,2017-01-18 22:39:00,1,4,0,noche
187,2017-01-19 22:35:00,2017-01-19 22:26:00,1,9,0,noche
188,2017-01-20 22:35:00,2017-01-21 00:53:00,1,138,1,noche
189,2017-01-21 22:35:00,2017-01-21 22:34:00,1,1,0,noche
190,2017-01-22 22:35:00,2017-01-22 22:22:00,1,13,0,noche
191,2017-01-23 22:35:00,2017-01-23 22:24:00,1,11,0,noche
192,2017-01-24 22:35:00,2017-01-24 22:24:00,1,11,0,noche
193,2017-01-25 22:35:00,2017-01-25 22:26:00,1,9,0,noche
194,2017-01-26 22:35:00,2017-01-26 22:28:00,1,7,0,noche
195,2017-01-27 22:35:00,2017-01-27 22:30:00,1,5,0,noche
196,2017-01-28 22:35:00,2017-01-28 22:34:00,1,1,0,noche
197,2017-01-29 22:35:00,2017-01-29 22:33:00,1,2,0,noche
198,2017-01-30 22:35:00,2017-01-30 22:48:00,1,13,0,noche
199,2017-01-31 22:35:00,2017-01-31 22:26:00,1,9,0,noche
200,2017-01-09 00:15:00,2017-01-09 00:14:00,1,1,0,noche
201,2017-01-01 10:35:00,2017-01-01 10:25:00,1,10,0,mañana
202,2017-01-02 10:35:00,2017-01-02 10:37:00,1,2,0,mañana
203,2017-01-03 10:35:00,2017-01-03 10:33:00,1,2,0,mañana
204,2017-01-04 10:35:00,2017-01-04 11:06:00,1,31,1,mañana
205,2017-01-05 10:35:00,2017-01-05 10:53:00,1,18,1,mañana
206,2017-01-06 10:35:00,2017-01-06 10:22:00,1,13,0,mañana
207,2017-01-07 10:35:00,2017-01-07 10:29:00,1,6,0,mañana
208,2017-01-08 10:35:00,2017-01-08 10:35:00,1,0,0,mañana
209,2017-01-09 10:35:00,2017-01-09 10:55:00,1,20,1,mañana
210,2017-01-10 10:35:00,2017-01-10 10:43:00,1,8,0,mañana
211,2017-01-11 10:35:00,2017-01-11 10:46:00,1,11,0,mañana
212,2017-01-12 10:35:00,2017-01-12 10:27:00,1,8,0,mañana
213,2017-01-13 10:35:00,2017-01-13 12:03:00,1,88,1,mañana
214,2017-01-14 10:35:00,2017-01-14 10:52:00,1,17,1,mañana
215,2017-01-15 10:35:00,2017-01-15 11:02:00,1,27,1,mañana
216,2017-01-16 10:35:00,2017-01-16 10:37:00,1,2,0,mañana
217,2017-01-17 10:35:00,2017-01-17 10:36:00,1,1,0,mañana
218,2017-01-18 10:35:00,2017-01-18 11:08:00,1,33,1,mañana
219,2017-01-19 10:35:00,2017-01-19 10:46:00,1,11,0,mañana
220,2017-01-20 10:35:00,2017-01-20 10:37:00,1,2,0,mañana
221,2017-01-21 10:35:00,2017-01-21 10:45:00,1,10,0,mañana
222,2017-01-23 10:35:00,2017-01-23 10:30:00,1,5,0,mañana
223,2017-01-24 10:35:00,2017-01-24 10:34:00,1,1,0,mañana
224,2017-01-25 10:35:00,2017-01-25 10:23:00,1,12,0,mañana
225,2017-01-26 10:35:00,2017-01-26 10:30:00,1,5,0,mañana
226,2017-01-27 10:35:00,2017-01-27 10:32:00,1,3,0,mañana
227,2017-01-30 10:35:00,2017-01-30 10:25:00,1,10,0,mañana
228,2017-01-31 10:35:00,2017-01-31 10:38:00,1,3,0,mañana
229,2017-01-02 09:20:00,2017-01-02 09:21:00,1,1,0,mañana
230,2017-01-03 09:20:00,2017-01-03 09:21:00,1,1,0,mañana
231,2017-01-04 09:20:00,2017-01-04 09:55:00,1,35,1,mañana
232,2017-01-05 09:20:00,2017-01-05 09:09:00,1,11,0,mañana
233,2017-01-06 09:20:00,2017-01-06 09:09:00,1,11,0,mañana
234,2017-01-07 09:20:00,2017-01-07 09:10:00,1,10,0,mañana
235,2017-01-09 09:20:00,2017-01-09 09:26:00,1,6,0,mañana
236,2017-01-10 09:20:00,2017-01-10 09:34:00,1,14,0,mañana
237,2017-01-11 09:20:00,2017-01-11 09:13:00,1,7,0,mañana
238,2017-01-12 09:20:00,2017-01-12 09:09:00,1,11,0,mañana
239,2017-01-13 09:20:00,2017-01-13 09:20:00,1,0,0,mañana
240,2017-01-14 09:20:00,2017-01-14 09:25:00,1,5,0,mañana
241,2017-01-16 09:20:00,2017-01-16 09:38:00,1,18,1,mañana
242,2017-01-17 09:20:00,2017-01-17 09:12:00,1,8,0,mañana
243,2017-01-18 09:20:00,2017-01-18 09:19:00,1,1,0,mañana
244,2017-01-19 09:20:00,2017-01-19 09:09:00,1,11,0,mañana
245,2017-01-20 09:20:00,2017-01-20 09:37:00,1,17,1,mañana
246,2017-01-21 09:20:00,2017-01-21 09:35:00,1,15,0,mañana
247,2017-01-23 09:20:00,2017-01-23 09:21:00,1,1,0,mañana
248,2017-01-24 09:20:00,2017-01-24 09:16:00,1,4,0,mañana
249,2017-01-25 09:20:00,2017-01-25 09:50:00,1,30,1,mañana
250,2017-01-26 09:20:00,2017-01-26 09:07:00,1,13,0,mañana
251,2017-01-27 09:20:00,2017-01-27 09:16:00,1,4,0,mañana
252,2017-01-28 09:20:00,2017-01-28 09:15:00,1,5,0,mañana
253,2017-01-30 09:20:00,2017-01-30 09:14:00,1,6,0,mañana
254,2017-01-01 16:45:00,2017-01-01 16:38:00,1,7,0,tarde
255,2017-01-02 16:45:00,2017-01-02 16:50:00,1,5,0,tarde
256,2017-01-03 16:45:00,2017-01-03 17:10:00,1,25,1,tarde
257,2017-01-04 16:45:00,2017-01-04 16:49:00,1,4,0,tarde
258,2017-01-05 16:45:00,2017-01-05 16:35:00,1,10,0,tarde
259,2017-01-06 16:45:00,2017-01-06 16:56:00,1,11,0,tarde
260,2017-01-07 16:45:00,2017-01-07 16:31:00,1,14,0,tarde
261,2017-01-08 16:45:00,2017-01-08 16:43:00,1,2,0,tarde
262,2017-01-09 16:45:00,2017-01-09 16:42:00,1,3,0,tarde
263,2017-01-10 16:45:00,2017-01-10 16:52:00,1,7,0,tarde
264,2017-01-11 16:45:00,2017-01-11 16:54:00,1,9,0,tarde
265,2017-01-12 16:45:00,2017-01-12 17:27:00,1,42,1,tarde
266,2017-01-13 16:45:00,2017-01-13 16:54:00,1,9,0,tarde
267,2017-01-14 16:45:00,2017-01-14 16:49:00,1,4,0,tarde
268,2017-01-15 16:45:00,2017-01-15 16:36:00,1,9,0,tarde
269,2017-01-16 16:45:00,2017-01-16 16:37:00,1,8,0,tarde
270,2017-01-17 16:45:00,2017-01-17 16:38:00,1,7,0,tarde
271,2017-01-18 16:45:00,2017-01-18 16:51:00,1,6,0,tarde
272,2017-01-19 16:45:00,2017-01-19 16:40:00,1,5,0,tarde
273,2017-01-20 16:45:00,2017-01-20 16:45:00,1,0,0,tarde
274,2017-01-21 16:45:00,2017-01-21 16:36:00,1,9,0,tarde
275,2017-01-22 16:45:00,2017-01-22 16:39:00,1,6,0,tarde
276,2017-01-23 16:45:00,2017-01-23 16:46:00,1,1,0,tarde
277,2017-01-24 16:45:00,2017-01-24 16:43:00,1,2,0,tarde
278,2017-01-25 16:45:00,2017-01-25 16:42:00,1,3,0,tarde
279,2017-01-26 16:45:00,2017-01-26 16:46:00,1,1,0,tarde
280,2017-01-27 16:45:00,2017-01-27 16:42:00,1,3,0,tarde
281,2017-01-28 16:45:00,2017-01-28 16:41:00,1,4,0,tarde
282,2017-01-29 16:45:00,2017-01-29 16:42:00,1,3,0,tarde
283,2017-01-30 16:45:00,2017-01-30 16:33:00,1,12,0,tarde
284,2017-01-31 16:45:00,2017-01-31 16:59:00,1,14,0,tarde
285,2017-01-01 19:25:00,2017-01-01 19:19:00,1,6,0,noche
286,2017-01-02 19:25:00,2017-01-02 19:24:00,1,1,0,noche
287,2017-01-03 19:25:00,2017-01-03 19:53:00,1,28,1,noche
288,2017-01-04 19:25:00,2017-01-04 19:24:00,1,1,0,noche
289,2017-01-05 19:25:00,2017-01-05 19:24:00,1,1,0,noche
290,2017-01-06 19:25:00,2017-01-06 19:17:00,1,8,0,noche
291,2017-01-07 19:25:00,2017-01-07 19:33:00,1,8,0,noche
292,2017-01-08 19:25:00,2017-01-08 19:37:00,1,12,0,noche
293,2017-01-09 19:25:00,2017-01-09 19:17:00,1,8,0,noche
294,2017-01-10 19:25:00,2017-01-10 19:22:00,1,3,0,noche
295,2017-01-11 19:25:00,2017-01-11 20:02:00,1,37,1,noche
296,2017-01-12 19:25:00,2017-01-12 19:29:00,1,4,0,noche
297,2017-01-13 19:25:00,2017-01-13 19:32:00,1,7,0,noche
298,2017-01-14 19:25:00,2017-01-14 19:22:00,1,3,0,noche
299,2017-01-15 19:25:00,2017-01-15 19:34:00,1,9,0,noche
300,2017-01-16 19:25:00,2017-01-16 19:24:00,1,1,0,noche
301,2017-01-17 19:25:00,2017-01-17 19:21:00,1,4,0,noche
302,2017-01-18 19:25:00,2017-01-18 19:28:00,1,3,0,noche
303,2017-01-19 19:25:00,2017-01-19 19:19:00,1,6,0,noche
304,2017-01-20 19:25:00,2017-01-20 19:33:00,1,8,0,noche
305,2017-01-22 19:25:00,2017-01-22 19:32:00,1,7,0,noche
306,2017-01-23 19:25:00,2017-01-23 19:18:00,1,7,0,noche
307,2017-01-24 19:25:00,2017-01-24 19:23:00,1,2,0,noche
308,2017-01-25 19:25:00,2017-01-25 19:17:00,1,8,0,noche
309,2017-01-27 19:25:00,2017-01-27 19:26:00,1,1,0,noche
310,2017-01-28 19:25:00,2017-01-28 19:11:00,1,14,0,noche
311,2017-01-29 19:25:00,2017-01-29 19:15:00,1,10,0,noche
312,2017-01-30 19:25:00,2017-01-30 19:14:00,1,11,0,noche
313,2017-01-31 19:25:00,2017-01-31 19:23:00,1,2,0,noche
314,2017-01-08 08:50:00,2017-01-08 09:17:00,1,27,1,mañana
315,2017-01-15 08:50:00,2017-01-15 08:54:00,1,4,0,mañana
316,2017-01-22 08:50:00,2017-01-22 08:48:00,1,2,0,mañana
317,2017-01-29 08:50:00,2017-01-29 09:05:00,1,15,0,mañana
318,2017-01-01 22:30:00,2017-01-01 22:31:00,1,1,0,noche
319,2017-01-02 22:30:00,2017-01-02 22:33:00,1,3,0,noche
320,2017-01-03 22:30:00,2017-01-03 22:52:00,1,22,1,noche
321,2017-01-04 22:30:00,2017-01-04 22:56:00,1,26,1,noche
322,2017-01-05 22:30:00,2017-01-05 22:34:00,1,4,0,noche
323,2017-01-06 22:30:00,2017-01-06 22:44:00,1,14,0,noche
324,2017-01-08 22:30:00,2017-01-08 22:37:00,1,7,0,noche
325,2017-01-09 22:30:00,2017-01-09 23:57:00,1,87,1,noche
326,2017-01-10 22:30:00,2017-01-10 22:29:00,1,1,0,noche
327,2017-01-11 22:30:00,2017-01-11 22:16:00,1,14,0,noche
328,2017-01-12 22:30:00,2017-01-12 22:30:00,1,0,0,noche
329,2017-01-13 22:30:00,2017-01-13 22:57:00,1,27,1,noche
330,2017-01-15 22:30:00,2017-01-15 22:38:00,1,8,0,noche
331,2017-01-16 22:30:00,2017-01-16 22:40:00,1,10,0,noche
332,2017-01-17 22:30:00,2017-01-17 22:35:00,1,5,0,noche
333,2017-01-18 22:30:00,2017-01-18 22:31:00,1,1,0,noche
334,2017-01-19 22:30:00,2017-01-19 22:21:00,1,9,0,noche
335,2017-01-20 22:30:00,2017-01-20 22:45:00,1,15,0,noche
336,2017-01-22 22:30:00,2017-01-22 22:31:00,1,1,0,noche
337,2017-01-23 22:30:00,2017-01-23 22:51:00,1,21,1,noche
338,2017-01-24 22:30:00,2017-01-24 22:29:00,1,1,0,noche
339,2017-01-25 22:30:00,2017-01-25 22:17:00,1,13,0,noche
340,2017-01-27 22:30:00,2017-01-27 22:51:00,1,21,1,noche
341,2017-01-29 22:30:00,2017-01-29 22:25:00,1,5,0,noche
342,2017-01-30 22:30:00,2017-01-30 22:28:00,1,2,0,noche
343,2017-01-07 22:30:00,2017-01-07 22:36:00,1,6,0,noche
344,2017-01-14 22:30:00,2017-01-14 22:29:00,1,1,0,noche
345,2017-01-21 22:30:00,2017-01-21 22:28:00,1,2,0,noche
346,2017-01-28 22:30:00,2017-01-28 22:22:00,1,8,0,noche
347,2017-01-01 07:53:00,2017-01-01 07:47:00,1,6,0,mañana
348,2017-01-02 07:53:00,2017-01-02 07:56:00,1,3,0,mañana
349,2017-01-03 08:30:00,2017-01-03 08:46:00,1,16,1,mañana
350,2017-01-05 17:10:00,2017-01-05 18:15:00,1,65,1,tarde
351,2017-01-07 07:53:00,2017-01-07 08:20:00,1,27,1,mañana
352,2017-01-08 07:53:00,2017-01-08 07:53:00,1,0,0,mañana
353,2017-01-09 07:53:00,2017-01-09 07:51:00,1,2,0,mañana
354,2017-01-10 07:53:00,2017-01-10 07:55:00,1,2,0,mañana
355,2017-01-11 07:53:00,2017-01-11 07:51:00,1,2,0,mañana
356,2017-01-12 07:53:00,2017-01-12 07:46:00,1,7,0,mañana
357,2017-01-13 07:53:00,2017-01-13 07:50:00,1,3,0,mañana
358,2017-01-14 07:53:00,2017-01-14 08:33:00,1,40,1,mañana
359,2017-01-15 07:53:00,2017-01-15 08:04:00,1,11,0,mañana
360,2017-01-16 07:53:00,2017-01-16 07:50:00,1,3,0,mañana
361,2017-01-17 07:53:00,2017-01-17 08:09:00,1,16,1,mañana
362,2017-01-18 07:53:00,2017-01-18 08:06:00,1,13,0,mañana
363,2017-01-19 07:53:00,2017-01-19 07:54:00,1,1,0,mañana
364,2017-01-20 07:53:00,2017-01-20 08:06:00,1,13,0,mañana
365,2017-01-21 07:53:00,2017-01-21 07:51:00,1,2,0,mañana
366,2017-01-22 07:53:00,2017-01-22 07:50:00,1,3,0,mañana
367,2017-01-23 07:53:00,2017-01-23 07:46:00,1,7,0,mañana
368,2017-01-24 07:53:00,2017-01-24 08:21:00,1,28,1,mañana
369,2017-01-25 07:53:00,2017-01-25 07:53:00,1,0,0,mañana
370,2017-01-26 07:53:00,2017-01-26 07:58:00,1,5,0,mañana
